TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Grossstadt	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Preise	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
hundertfache	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Friedenszeiten	B-OTH	O	O	O	O	O	_	_	_
gestiegen	I-OTH	O	O	O	O	O	_	_	_
Hast	I-OTH	O	O	O	O	O	_	_	_
Du	I-OTH	O	O	O	O	O	_	_	_
l	I-OTH	O	O	O	O	O	_	_	_
Schwester	I-OTH	O	O	O	O	O	_	_	_
Thekla	I-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
Brief	I-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
Dir	I-OTH	O	O	O	O	O	_	_	_
Ostern	I-OTH	O	O	O	O	O	_	_	_
schrieb	I-OTH	O	O	O	O	O	_	_	_
erhalten	I-OTH	O	O	O	O	O	_	_	_
Da	I-OTH	O	O	O	O	O	_	_	_
hatte	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
ein	I-OTH	O	O	O	O	O	_	_	_
Bildchen	I-OTH	O	O	O	O	O	_	_	_
für	I-OTH	O	O	O	O	O	_	_	_
Sand	I-OTH	O	O	O	O	O	_	_	_
Lahner	I-OTH	O	O	O	O	O	_	_	_
beigelegt	I-OTH	O	O	O	O	O	_	_	_
welches	I-OTH	O	O	O	O	O	_	_	_
meine	I-OTH	O	O	O	O	O	_	_	_
kleinen	I-OTH	O	O	O	O	O	_	_	_
Zöglinge	I-OTH	O	O	O	O	O	_	_	_
geflichtet	I-OTH	O	O	O	O	O	_	_	_
haben	I-OTH	O	O	O	O	O	_	_	_
Das	I-OTH	O	O	O	O	O	_	_	_
Bildchen	I-OTH	O	O	O	O	O	_	_	_
welches	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
heute	I-OTH	O	O	O	O	O	_	_	_
schicke	I-OTH	O	O	O	O	O	_	_	_
kannst	I-OTH	O	O	O	O	O	_	_	_
Du	I-OTH	O	O	O	O	O	_	_	_
lieber	I-OTH	O	O	O	O	O	_	_	_
Schwesterchen	I-OTH	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
warten	O	O	O	O	O	O	_	_	_
Damen	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
ben	O	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Freude	O	O	O	O	O	O	_	_	_
macht	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
gros	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Freude	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
l	O	O	O	O	O	O	_	_	_
Kleinen	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Hand	O	O	O	O	O	O	_	_	_
Hätten	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
verehrte	O	O	O	O	O	O	_	_	_
Frau	O	O	O	O	O	O	_	_	_
Reinhardt	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ein	B-OTH	O	O	O	O	O	_	_	_
mal	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
glückstrahlenden	I-OTH	O	O	O	O	O	_	_	_
Kinder	I-OTH	O	O	O	O	O	_	_	_
augen	I-OTH	O	O	O	O	O	_	_	_
schen	I-OTH	O	O	O	O	O	_	_	_
kön	I-OTH	O	O	O	O	O	_	_	_
me	I-OTH	O	O	O	O	O	_	_	_
Die	I-OTH	O	O	O	O	O	_	_	_
