TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Lieber	O	O	O	O	O	O	_	_	_
Schwager	B-ORG	O	O	O	O	O	_	_	_
Paul	I-ORG	O	O	O	O	O	_	_	_
u	I-ORG	O	O	O	O	O	_	_	_
Martha	I-ORG	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Kinder	O	O	O	O	O	O	_	_	_
Vielen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
erhaltenen	O	O	O	O	O	O	_	_	_
Dotter	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
gab	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
hoffentlich	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Kinder?	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
weiß	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
habt	O	O	O	O	O	O	_	_	_
Uns	O	O	O	O	O	O	_	_	_
erzählt	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
niemand	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Kosten	O	O	O	O	O	O	_	_	_
müssen	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Schule	O	O	O	O	O	O	_	_	_
gehn	O	O	O	O	O	O	_	_	_
Bei	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Marien	B-LOC	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
Bett	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
beth	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
stern	B-ORG	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Straffe	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Handels	O	O	O	O	O	O	_	_	_
schule	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
kommt	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Geschäft	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
Boristen	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
Jahren	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
kostet	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Geld	B-OTH	O	O	O	O	O	_	_	_
aber	I-OTH	O	O	O	O	O	_	_	_
man	I-OTH	O	O	O	O	O	_	_	_
muß	I-OTH	O	O	O	O	O	_	_	_
es	I-OTH	O	O	O	O	O	_	_	_
eben	I-OTH	O	O	O	O	O	_	_	_
ris	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
