TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
setzte	O	O	O	O	O	O	_	_	_
wol	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
einsam	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Er	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Lohn	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
manche	O	O	O	O	O	O	_	_	_
Gehör	O	O	O	O	O	O	_	_	_
schaffen	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
5	O	O	O	O	O	O	_	_	_
Dolle	B-PER	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Woche	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
arbeiten	O	O	O	O	O	O	_	_	_
tet	O	O	O	O	O	O	_	_	_
So	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Unge	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
5	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Leute	O	O	O	O	O	O	_	_	_
Jahr	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Seh	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
rechten	O	O	O	O	O	O	_	_	_
etc	O	O	O	O	O	O	_	_	_
4	O	O	O	O	O	O	_	_	_
Boller	B-PER	O	O	O	O	O	_	_	_
geschaft	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Unger	B-PER	O	O	O	O	O	_	_	_
Es	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
reiche	O	O	O	O	O	O	_	_	_
Leute	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
Be	B-OTH	O	O	O	O	O	_	_	_
7	I-OTH	O	O	O	O	O	_	_	_
man	I-OTH	O	O	O	O	O	_	_	_
ja	I-OTH	O	O	O	O	O	_	_	_
ihr	I-OTH	O	O	O	O	O	_	_	_
viele	I-OTH	O	O	O	O	O	_	_	_
der	I-OTH	O	O	O	O	O	_	_	_
besuchte	I-OTH	O	O	O	O	O	_	_	_
was	I-OTH	O	O	O	O	O	_	_	_
Er	I-OTH	O	O	O	O	O	_	_	_
bit	I-OTH	O	O	O	O	O	_	_	_
man	I-OTH	O	O	O	O	O	_	_	_
hier	I-OTH	O	O	O	O	O	_	_	_
Schreibe	I-OTH	O	O	O	O	O	_	_	_
meine	I-OTH	O	O	O	O	O	_	_	_
sen	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
hast	I-OTH	O	O	O	O	O	_	_	_
du	I-OTH	O	O	O	O	O	_	_	_
gehört	I-OTH	O	O	O	O	O	_	_	_
ab	I-OTH	O	O	O	O	O	_	_	_
nach	I-OTH	O	O	O	O	O	_	_	_
dort	I-OTH	O	O	O	O	O	_	_	_
ihr	I-OTH	O	O	O	O	O	_	_	_
das	I-OTH	O	O	O	O	O	_	_	_
Melche	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
schlie	I-OTH	O	O	O	O	O	_	_	_
allzeit	I-OTH	O	O	O	O	O	_	_	_
mich	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
dem	I-OTH	O	O	O	O	O	_	_	_
Gebet	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
wie	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
auch	I-OTH	O	O	O	O	O	_	_	_
deiner	I-OTH	O	O	O	O	O	_	_	_
nicht	I-OTH	O	O	O	O	O	_	_	_
ver	I-OTH	O	O	O	O	O	_	_	_
wir	I-OTH	O	O	O	O	O	_	_	_
haben	I-OTH	O	O	O	O	O	_	_	_
manchmal	I-OTH	O	O	O	O	O	_	_	_
ge	I-OTH	O	O	O	O	O	_	_	_
Zeit	I-OTH	O	O	O	O	O	_	_	_
zusammen	I-OTH	O	O	O	O	O	_	_	_
verlebt	I-OTH	O	O	O	O	O	_	_	_
ihm	I-OTH	O	O	O	O	O	_	_	_
sitzt	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
mein	I-OTH	O	O	O	O	O	_	_	_
Stel	I-OTH	O	O	O	O	O	_	_	_
allein	I-OTH	O	O	O	O	O	_	_	_
mir	I-OTH	O	O	O	O	O	_	_	_
manches	I-OTH	O	O	O	O	O	_	_	_
mit	I-OTH	O	O	O	O	O	_	_	_
sammt	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
Marie	I-OTH	O	O	O	O	O	_	_	_
her	I-OTH	O	O	O	O	O	_	_	_
denn	I-OTH	O	O	O	O	O	_	_	_
sie	I-OTH	O	O	O	O	O	_	_	_
muß	I-OTH	O	O	O	O	O	_	_	_
