TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
noch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
hin	O	O	O	O	O	O	_	_	_
Hetter	I-PER	O	O	O	O	O	_	_	_
Paul	I-PER	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
ankommen	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
bin	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
freudig	O	O	O	O	O	O	_	_	_
Liebling	O	O	O	O	O	O	_	_	_
garnicht	O	O	O	O	O	O	_	_	_
weiß	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Liebling	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
Bitt	O	O	O	O	O	O	_	_	_
Zu	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
hälft	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
Sachen	O	O	O	O	O	O	_	_	_
mitbringen	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
überlasse	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
ganz	O	O	O	O	O	O	_	_	_
alleine	O	O	O	O	O	O	_	_	_
Butter	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
mitschicken	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Betten	O	O	O	O	O	O	_	_	_
viele	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
Waldmeister	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
nichts	O	O	O	O	O	O	_	_	_
Tausend	O	O	O	O	O	O	_	_	_
herzlich	O	O	O	O	O	O	_	_	_
Gruß	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Küße	O	O	O	O	O	O	_	_	_
findet	O	O	O	O	O	O	_	_	_
Dir	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
deine	O	O	O	O	O	O	_	_	_
treue	O	O	O	O	O	O	_	_	_
St	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
Viele	O	O	O	O	O	O	_	_	_
Grüße	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
meinen	O	O	O	O	O	O	_	_	_
verwandten	O	O	O	O	O	O	_	_	_
Gute	O	O	O	O	O	O	_	_	_
Nacht	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Biedersehn	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
frohes	O	O	O	O	O	O	_	_	_
