TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
sen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
hatt	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
gehört	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
einsam	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
weder	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Weihnach	O	O	O	O	O	O	_	_	_
dort	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Löhne	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
hoch	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
schließ	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
manche	O	O	O	O	O	O	_	_	_
Gehör	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Gebeten	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
schaffen	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Doller	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
deiner	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
vergessen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Woche	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
arbeiten	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
manchmal	O	O	O	O	O	O	_	_	_
gute	O	O	O	O	O	O	_	_	_
tet	O	O	O	O	O	O	_	_	_
So	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
Mar	I-PER	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
zusammen	O	O	O	O	O	O	_	_	_
verlebt	O	O	O	O	O	O	_	_	_
hie	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
5	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Lande	O	O	O	O	O	O	_	_	_
fügte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
mein	O	O	O	O	O	O	_	_	_
Stel	O	O	O	O	O	O	_	_	_
han	O	O	O	O	O	O	_	_	_
Jahr	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
Stall	O	O	O	O	O	O	_	_	_
allein	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
manches	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
ersten	O	O	O	O	O	O	_	_	_
5	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
fer	O	O	O	O	O	O	_	_	_
kommt	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Marie	I-PER	O	O	O	O	O	_	_	_
heran	O	O	O	O	O	O	_	_	_
dellos	O	O	O	O	O	O	_	_	_
geschaft	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
müse	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Ungarn	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Rabe	I-PER	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
