TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Auf	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
lebe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Art	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
Hedwig	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Paul	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q1518011	_	_
und	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
Verhältniß	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Großmutter	O	O	O	O	O	O	_	_	_
Ihr	O	O	O	O	O	O	_	_	_
habt	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
erzählt	O	O	O	O	O	O	_	_	_
Eure	O	O	O	O	O	O	_	_	_
freude	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
zustimm	O	O	O	O	O	O	_	_	_
mung	O	O	O	O	O	O	_	_	_
gegeben	O	O	O	O	O	O	_	_	_
dazu	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Haus	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
ch	O	O	O	O	O	O	_	_	_
geben	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Muster	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q506599	_	_
daß	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
davon	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
niemand	O	O	O	O	O	O	_	_	_
geschrieben	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
nämlich	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
allem	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Anna	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q559296	_	_
sagen	O	O	O	O	O	O	_	_	_
weil	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
dort	O	O	O	O	O	O	_	_	_
wohnen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Arbeit	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
allein	O	O	O	O	O	O	_	_	_
machen	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
lege	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
fortwährend	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
