TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Supla	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
24	O	O	O	O	O	O	_	_	_
May	B-OTH	O	O	O	O	O	http://www.wikidata.org/entity/Q223890	_	_
Und	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
lite	O	O	O	O	O	O	_	_	_
ele	O	O	O	O	O	O	_	_	_
schil	O	O	O	O	O	O	_	_	_
Meine	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
lie	O	O	O	O	O	O	_	_	_
Gekla	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
gruß	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
unseren	O	O	O	O	O	O	_	_	_
garten	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Gleichen	O	O	O	O	O	O	_	_	_
hocherfreut	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
Ihren	O	O	O	O	O	O	_	_	_
eben	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
erste	O	O	O	O	O	O	_	_	_
Frülungsbote	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
sache	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
unsern	O	O	O	O	O	O	_	_	_
besten	O	O	O	O	O	O	_	_	_
dank	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Rosen	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
blichen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
tenen	O	O	O	O	O	O	_	_	_
auszugleich	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
seinde	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
erdient	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Geiste	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Erinnerung	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
waren	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
gutes	O	O	O	O	O	O	_	_	_
Mädchen	O	O	O	O	O	O	_	_	_
Strauß	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
leben	O	O	O	O	O	O	_	_	_
