TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
er	O	O	O	O	O	O	_	_	_
könnte	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
billiges	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Und	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Bartelt	B-PER	O	O	O	O	O	_	_	_
1100	O	O	O	O	O	O	_	_	_
Mark	B-OTH	O	O	O	O	O	_	_	_
fürs	O	O	O	O	O	O	_	_	_
kauf	O	O	O	O	O	O	_	_	_
bekommen	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
kleine	O	O	O	O	O	O	_	_	_
Paulchen	B-ORG	O	O	O	O	O	_	_	_
Pfund	I-ORG	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Schachtel	O	O	O	O	O	O	_	_	_
Streichhörzer	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
früher	O	O	O	O	O	O	_	_	_
Pfand	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
kösten	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
Mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
schaffen	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
eben	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Deutschlän	B-LOC	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
schlecht	O	O	O	O	O	O	_	_	_
Für	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Anzegel	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
50	O	O	O	O	O	O	_	_	_
Pfenige	O	O	O	O	O	O	_	_	_
Und	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
jede	O	O	O	O	O	O	_	_	_
Kleinigkeit	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
30	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
terer	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
Paulichen	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
150	O	O	O	O	O	O	_	_	_
Mark	B-OTH	O	O	O	O	O	_	_	_
früher	O	O	O	O	O	O	_	_	_
Wenn	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
zahlen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
verdient	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
eben	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
Weil	O	O	O	O	O	O	_	_	_
meisten	O	O	O	O	O	O	_	_	_
blos	O	O	O	O	O	O	_	_	_
Papierstoff	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Erkaufen	O	O	O	O	O	O	_	_	_
Also	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
haltbar	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Kinder	O	O	O	O	O	O	_	_	_
Thekla	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
sage	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
liederlich	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
Für	O	O	O	O	O	O	_	_	_
paar	O	O	O	O	O	O	_	_	_
Schufe	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Paulchen	B-OTH	O	O	O	O	O	_	_	_
muß	I-OTH	O	O	O	O	O	_	_	_
man	I-OTH	O	O	O	O	O	_	_	_
der	I-OTH	O	O	O	O	O	_	_	_
August	I-OTH	O	O	O	O	O	_	_	_
Wenn	I-OTH	O	O	O	O	O	_	_	_
er	I-OTH	O	O	O	O	O	_	_	_
will	I-OTH	O	O	O	O	O	_	_	_
