System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.333	0.167	0.222				1	2	5
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	1	2
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.5	0.25	0.333				1	1	3
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.333	0.167	0.222				1	2	5
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	1	2
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.5	0.25	0.333				1	1	3
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.333	0.167	0.222	0.0	0.0	0.0			
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0.0	0.0	0.0	0.0			
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.5	0.25	0.333	0.0	0.0	0.0			
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.333	0.167	0.222	0.0	0.0	0.0			
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0.0	0.0	0.0	0.0			
l9xxxxxx-tl2026-1b-pdf-germaner_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.5	0.25	0.333	0.0	0.0	0.0			
