Langenheit  B-OTH
d  I-OTH
29.  I-OTH
Juni  I-OTH
1.  I-OTH
91  I-OTH
Liebe  I-OTH
Schwester  I-OTH
u.  I-OTH
alle  I-OTH
mein  I-OTH
Lieben.  I-OTH
Deinen  I-OTH
Brief  I-OTH
haben  I-OTH
wir  I-OTH
erhalten,  I-OTH
und  I-OTH
daraus  I-OTH
ersehen,  I-OTH
daß  I-OTH
du  I-OTH
und  I-OTH
alle  I-OTH
noch  I-OTH
gesund  I-OTH
seit  I-OTH
Wir  I-OTH
sind  I-OTH
alle  I-OTH
au.  I-OTH
Gott  I-OTH
lob  I-OTH
noch  I-OTH
gesund  I-OTH
um  I-OTH
munten  I-OTH
und  I-OTH
wünschten  I-OTH
blos  I-OTH
der  I-OTH
blutige  I-OTH
Krieg  I-OTH
hätte  O
bald  O
ein  O
Ende.  O
Vor  O
einigen  O
Monaten  O
im  O
März  O
ist  O
auch  O
Rosen  O
Hofe  O
vom  O
Onkel  O
August  O
in  O
Frankreich  B-LOC
nach  I-OTH
8  I-OTH
tägigen  I-OTH
weren  I-OTH
verwundung  I-OTH
den  I-OTH
4  I-OTH
Halden  I-OTH
tot  I-OTH
für  I-OTH
König  I-OTH
und  I-OTH
Vaterland  I-OTH
ge¬  I-OTH
storben  I-OTH
er  I-OTH
war  I-OTH
auch  I-OTH
schon  I-OTH
verheiratet.  I-OTH
Lin¬  I-OTH
Thekla  I-OTH
Du  I-OTH
sollst  I-OTH
Anna  I-OTH
und  O
Marti¬  O
etwas  O
vorbereiten,  O
daß  O
sie  O
nicht  O
gl.  O
i.  O
so  O
erschrecken  O
über  O
Bruder  O
Richard  B-PER
er  O
ist  O
schon  O
sein  O
23  O
M  O
u  O
vermißt  O

