TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Kommnissen	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
erheblich	O	O	O	O	O	O	_	_	_
gewonnen	O	O	O	O	O	O	_	_	_
während	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Sozialdemokraten	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Stim	O	O	O	O	O	O	_	_	_
en	O	O	O	O	O	O	_	_	_
verloren	O	O	O	O	O	O	_	_	_
trotzdem	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
M	O	O	O	O	O	O	_	_	_
S	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
S	O	O	O	O	O	O	_	_	_
Es	O	O	O	O	O	O	_	_	_
vereinigt	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
Vereinigte	O	O	O	O	O	O	_	_	_
Sozialdem	B-ORG	O	O	O	O	O	_	_	_
Parten	I-ORG	O	O	O	O	O	_	_	_
nennt	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Neustädter	I-ORG	O	O	O	O	O	_	_	_
Zeitung	I-ORG	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
ab	O	O	O	O	O	O	_	_	_
sende	O	O	O	O	O	O	_	_	_
kannst	O	O	O	O	O	O	_	_	_
Du	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Ergebnisse	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Wahl	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Kreise	O	O	O	O	O	O	_	_	_
Neustadt	B-LOC	O	O	O	O	O	_	_	_
lesen	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
einigen	O	O	O	O	O	O	_	_	_
Zeitungen	O	O	O	O	O	O	_	_	_
steht	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Verlauf	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Rathaus	O	O	O	O	O	O	_	_	_
Prozesses	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
anderen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Berichte	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Scheidemann-Prozesses	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
einigen	O	O	O	O	O	O	_	_	_
Tagen	O	O	O	O	O	O	_	_	_
