Gst.  B-OTH
Langenbrück  I-OTH
den  I-OTH
17.  I-OTH
1930.  I-OTH
Lieber  I-OTH
Robert  I-OTH
u.  I-OTH
Familie  I-OTH
zur  I-OTH
beiden  I-OTH
Briefe  I-OTH
habe  I-OTH
ich  I-OTH
erhalten  I-OTH
um  I-OTH
komme  I-OTH
erst  I-OTH
nach  I-OTH
längerzeit  I-OTH
dazu  I-OTH
Euch  I-OTH
deselben  I-OTH
zubeantworten  I-OTH
verzeicht  I-OTH
das  I-OTH
ich  I-OTH
Euch  I-OTH
nicht  I-OTH
er  I-OTH
schreiben  I-OTH
könte  I-OTH
denn  I-OTH
das  I-OTH
Alter  I-OTH
drück¬  I-OTH
mich  O
schon  O
sehr  O
und  O
die  O
große  O
Hitze  O
macht  O
mich  O
sehr  O
schwach  O
und  O
matt  O
die  O
Hitze  O
die  O
dieses  O
Jahr  O
ist  O
haben  O
wir  O
noch  O
nicht  O
gehabt  O
sein  O
ich  O
auf  O
der  O
Welt  O
bin  O
andere  O
Jahre  O
waren  O
wir  O
noch  O
in  O
der  O
Hausante  O
und  O
dieses  O
Jahr  O
sind  O
wir  O
schon  O
in  O
der  O
Getreide  O
streite  O
Anfan¬  O
Juli  O
konte  O
schon  O
das  O
Gerade  O
angefangen  O
werden  O
an  O
vielen  O
Ortschaften  O
ist  O
das  O
Getreide  O
nachteif  O
und  O
Ausgebrand,  O
wie  O
das  O
noch  O
kommen  O
wird  O
weiß  O
man  O
nicht  O
Kartoffeln  O
und  O
Gemüse  O
sind  O
zum  O
umfallen  O
im  O
Juri  B-PER
hatten  O
wir  O
grade  O
zwei  O
mal  O
eine  O
Stunde,  O
und  O
einmal  O
paar  O
Minuten  O
das  O
war  O
der  O
ganze  O
Regen  O
und  O
diese  O
schreckliche  O
Hitze  O
und  O
im  O
Juli  O
einmal  O
ein  O
gro¬  O

