TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Großstadt	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Preise	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
hundertfache	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Friedenszeiten	B-OTH	O	O	O	O	O	_	_	_
gestiegen	I-OTH	O	O	O	O	O	_	_	_
Hast	I-OTH	O	O	O	O	O	_	_	_
Du	I-OTH	O	O	O	O	O	_	_	_
lb	I-OTH	O	O	O	O	O	_	_	_
Schwester	I-OTH	O	O	O	O	O	_	_	_
Thekla	I-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
Brief	I-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
Dir	I-OTH	O	O	O	O	O	_	_	_
Ostern	I-OTH	O	O	O	O	O	_	_	_
schrieb	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
Da	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Bildchen	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Frau	O	O	O	O	O	O	_	_	_
Zahner	B-PER	O	O	O	O	O	_	_	_
beigelegt	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
kleinen	O	O	O	O	O	O	_	_	_
Zöglinge	O	O	O	O	O	O	_	_	_
geflichtet	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
Bildchen	B-OTH	O	O	O	O	O	_	_	_
welches	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
heute	I-OTH	O	O	O	O	O	_	_	_
schicke	I-OTH	O	O	O	O	O	_	_	_
kannst	I-OTH	O	O	O	O	O	_	_	_
Du	I-OTH	O	O	O	O	O	_	_	_
liebes	I-OTH	O	O	O	O	O	_	_	_
Schwesterchen	I-OTH	O	O	O	O	O	_	_	_
einer	I-OTH	O	O	O	O	O	_	_	_
der	I-OTH	O	O	O	O	O	_	_	_
werten	I-OTH	O	O	O	O	O	_	_	_
Damen	I-OTH	O	O	O	O	O	_	_	_
ge	I-OTH	O	O	O	O	O	_	_	_
ben	I-OTH	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Freude	O	O	O	O	O	O	_	_	_
macht	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
groß	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Freude	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
lb	O	O	O	O	O	O	_	_	_
Kleinen	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Lande	O	O	O	O	O	O	_	_	_
Hätten	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
verehrte	O	O	O	O	O	O	_	_	_
Frau	O	O	O	O	O	O	_	_	_
Reinhardt	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
ein	B-OTH	O	O	O	O	O	_	_	_
mal	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
glückstrahlenden	I-OTH	O	O	O	O	O	_	_	_
Kinderaugen	I-OTH	O	O	O	O	O	_	_	_
sehen	I-OTH	O	O	O	O	O	_	_	_
kön	I-OTH	O	O	O	O	O	_	_	_
nen	I-OTH	O	O	O	O	O	_	_	_
Die	I-OTH	O	O	O	O	O	_	_	_
Kleine	I-OTH	O	O	O	O	O	_	_	_
Mina	I-OTH	O	O	O	O	O	_	_	_
welche	I-OTH	O	O	O	O	O	_	_	_
schan	I-OTH	O	O	O	O	O	_	_	_
das	I-OTH	O	O	O	O	O	_	_	_
1	I-OTH	O	O	O	O	O	_	_	_
Jahr	I-OTH	O	O	O	O	O	_	_	_
zur	I-OTH	O	O	O	O	O	_	_	_
Schule	I-OTH	O	O	O	O	O	_	_	_
geht	I-OTH	O	O	O	O	O	_	_	_
u	I-OTH	O	O	O	O	O	_	_	_
schon	I-OTH	O	O	O	O	O	_	_	_
etwas	I-OTH	O	O	O	O	O	_	_	_
schreiben	I-OTH	O	O	O	O	O	_	_	_
kann	I-OTH	O	O	O	O	O	_	_	_
bat	I-OTH	O	O	O	O	O	_	_	_
mich	I-OTH	O	O	O	O	O	_	_	_
gleich	I-OTH	O	O	O	O	O	_	_	_
der	I-OTH	O	O	O	O	O	_	_	_
lb	I-OTH	O	O	O	O	O	_	_	_
Pante	I-OTH	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Amerika	B-LOC	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
dürfen	O	O	O	O	O	O	_	_	_
Am	O	O	O	O	O	O	_	_	_
28	O	O	O	O	O	O	_	_	_
dieses	O	O	O	O	O	O	_	_	_
Monates	O	O	O	O	O	O	_	_	_
veran	O	O	O	O	O	O	_	_	_
stalteten	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Elternfest	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
welchem	O	O	O	O	O	O	_	_	_
unsere	O	O	O	O	O	O	_	_	_
Zöglinge	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Kleinsten	O	O	O	O	O	O	_	_	_
angefangen	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
14	O	O	O	O	O	O	_	_	_
jährigen	O	O	O	O	O	O	_	_	_
durch	O	O	O	O	O	O	_	_	_
Gedichte	B-OTH	O	O	O	O	O	_	_	_
u	I-OTH	O	O	O	O	O	_	_	_
kleine	I-OTH	O	O	O	O	O	_	_	_
Theaterstü	I-OTH	O	O	O	O	O	_	_	_
ke	I-OTH	O	O	O	O	O	_	_	_
zur	I-OTH	O	O	O	O	O	_	_	_
Zuschauerung	I-OTH	O	O	O	O	O	_	_	_
des	I-OTH	O	O	O	O	O	_	_	_
Festes	I-OTH	O	O	O	O	O	_	_	_
