TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Lieber	O	O	O	O	O	O	_	_	_
Schwager	O	O	O	O	O	O	_	_	_
Paul	B-PER	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Martha	B-PER	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Kinder	B-PER	O	O	O	O	O	_	_	_
Vielen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
erhaltenen	O	O	O	O	O	O	_	_	_
Dotter	B-OTH	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	B-PER	O	O	O	O	O	_	_	_
gab	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
hoffentlich	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Kinder	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
weiß	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
habt	O	O	O	O	O	O	_	_	_
Uns	O	O	O	O	O	O	_	_	_
erzählt	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
niemand	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Kosten	O	O	O	O	O	O	_	_	_
müssen	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Schule	B-LOC	O	O	O	O	O	_	_	_
gehn	O	O	O	O	O	O	_	_	_
Bei	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Marien	B-PER	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
Bett	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
beth	B-PER	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
stern	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Straffe	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Handels	B-LOC	O	O	O	O	O	_	_	_
schule	I-LOC	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
kommt	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Geschäft	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
Boristen	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
Jahren	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
kostet	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Geld	B-OTH	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
eben	O	O	O	O	O	O	_	_	_
ris	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Ergen	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
18	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Fruchen	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
wachsen	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
herrn	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
all	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
August	B-PER	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
hoffentlich	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
warten	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
her	O	O	O	O	O	O	_	_	_
kommt	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Hochzeit	O	O	O	O	O	O	_	_	_
macht	O	O	O	O	O	O	_	_	_
Deine	O	O	O	O	O	O	_	_	_
Schwester	B-PER	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Martha	B-PER	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
schweres	O	O	O	O	O	O	_	_	_
Franz	B-PER	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
tragen	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Kosten	O	O	O	O	O	O	_	_	_
hingen	O	O	O	O	O	O	_	_	_
Alle	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
warten	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
seinen	O	O	O	O	O	O	_	_	_
Tod	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
guten	O	O	O	O	O	O	_	_	_
Schlege	O	O	O	O	O	O	_	_	_
erhält	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
lange	O	O	O	O	O	O	_	_	_
Hoffnung	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
keine	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
