System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.875	0.778	0.824				14	2	4
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	OTH	0.8	0.571	0.667				4	1	3
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.909	0.909	0.909				10	1	1
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.875	0.778	0.824				14	2	4
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	OTH	0.8	0.571	0.667				4	1	3
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.909	0.909	0.909				10	1	1
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.875	0.778	0.824	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	OTH	0.8	0.571	0.667	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.909	0.909	0.909	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.875	0.778	0.824	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	OTH	0.8	0.571	0.667	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.909	0.909	0.909	0.0	0.0	0.0			
