TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
Aber	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
denke	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
besseren	O	O	O	O	O	O	_	_	_
Ort	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
religiöser	O	O	O	O	O	O	_	_	_
Mann	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
lange	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
vorzubereiten	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Zeug	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Mutterchen	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
dasselbe	O	O	O	O	O	O	_	_	_
thun	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
wünschen	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
könnte	O	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
armen	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Berthold	B-PER	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
versorgt	O	O	O	O	O	O	_	_	_
sehen	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
seis	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
ihren	O	O	O	O	O	O	_	_	_
hilflosen	O	O	O	O	O	O	_	_	_
Sohn	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
zurück	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
