TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
beite	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Richten	B-LOC	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Freunden	O	O	O	O	O	O	_	_	_
dort	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
möchte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
her	O	O	O	O	O	O	_	_	_
hause	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
beschäftigt	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
lich	O	O	O	O	O	O	_	_	_
gerne	O	O	O	O	O	O	_	_	_
sehen	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
dieses	O	O	O	O	O	O	_	_	_
haus	O	O	O	O	O	O	_	_	_
zurückgehe	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
dieses	O	O	O	O	O	O	_	_	_
vielleicht	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
haus	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Verkauf	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Deutschland	B-LOC	O	O	O	O	O	_	_	_
Warkt	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
gehen	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Anna	B-PER	O	O	O	O	O	_	_	_
Trille	O	O	O	O	O	O	_	_	_
Schwester	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
fehlt	O	O	O	O	O	O	_	_	_
gar	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
deutschen	O	O	O	O	O	O	_	_	_
denken	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Zeiten	O	O	O	O	O	O	_	_	_
ihrer	O	O	O	O	O	O	_	_	_
Operation	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
schlimmer	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
dort	O	O	O	O	O	O	_	_	_
schrieb	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
letzten	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
vollkomme	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Höhe	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Preise	O	O	O	O	O	O	_	_	_
gestieg	O	O	O	O	O	O	_	_	_
Gesundheit	O	O	O	O	O	O	_	_	_
wiedererlangen	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
möchte	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Familie	O	O	O	O	O	O	_	_	_
Erlösung	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
armen	O	O	O	O	O	O	_	_	_
