TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
was	O	O	O	O	O	O	_	_	_
macht	O	O	O	O	O	O	_	_	_
Wilchen	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
lasse	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
grüßen	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Sonntag	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Antonausfest	O	O	O	O	O	O	_	_	_
Da	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Prozession	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Maria	B-LOC	O	O	O	O	O	_	_	_
Hilf	I-LOC	O	O	O	O	O	_	_	_
Wallfarten	I-LOC	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
Agnes	B-PER	O	O	O	O	O	_	_	_
fleißig	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
beten	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Schluß	B-OTH	O	O	O	O	O	_	_	_
übersende	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
Euch	I-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
Mutterlichen	I-OTH	O	O	O	O	O	_	_	_
Segen	I-OTH	O	O	O	O	O	_	_	_
um	I-OTH	O	O	O	O	O	_	_	_
verbleibe	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
Liebe	I-OTH	O	O	O	O	O	_	_	_
des	I-OTH	O	O	O	O	O	_	_	_
hlg	I-OTH	O	O	O	O	O	_	_	_
Herzen	I-OTH	O	O	O	O	O	_	_	_
Sohn	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
Maria	I-OTH	O	O	O	O	O	_	_	_
Euer	I-OTH	O	O	O	O	O	_	_	_
Auch	I-OTH	O	O	O	O	O	_	_	_
liebende	I-OTH	O	O	O	O	O	_	_	_
Mutter	I-OTH	O	O	O	O	O	_	_	_
Agnes	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
Bartholt	I-OTH	O	O	O	O	O	_	_	_
aus	I-OTH	O	O	O	O	O	_	_	_
Christus	I-OTH	O	O	O	O	O	_	_	_
Langenbrück	I-OTH	O	O	O	O	O	_	_	_
d	I-OTH	O	O	O	O	O	_	_	_
10	I-OTH	O	O	O	O	O	_	_	_
1928	O	O	O	O	O	O	_	_	_
