TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
International	B-OTH	O	O	O	O	O	_	_	_
Erlan	I-OTH	O	O	O	O	O	_	_	_
ass	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
Harrige	I-OTH	O	O	O	O	O	_	_	_
Impertingen	I-OTH	O	O	O	O	O	_	_	_
Bartigen	I-OTH	O	O	O	O	O	_	_	_
Erlange	I-OTH	O	O	O	O	O	_	_	_
Sr	I-OTH	O	O	O	O	O	_	_	_
an	I-OTH	O	O	O	O	O	_	_	_
kansas	I-OTH	O	O	O	O	O	_	_	_
r	I-OTH	O	O	O	O	O	_	_	_
10	I-OTH	O	O	O	O	O	_	_	_
d	I-OTH	O	O	O	O	O	_	_	_
2	I-OTH	O	O	O	O	O	_	_	_
Juli	I-OTH	O	O	O	O	O	_	_	_
1890	I-OTH	O	O	O	O	O	_	_	_
12	I-OTH	O	O	O	O	O	_	_	_
Maria	I-OTH	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
beehrtes	O	O	O	O	O	O	_	_	_
Pract	O	O	O	O	O	O	_	_	_
Im	O	O	O	O	O	O	_	_	_
Auftrag	O	O	O	O	O	O	_	_	_
ihrer	O	O	O	O	O	O	_	_	_
Schifeier	B-OTH	O	O	O	O	O	_	_	_
Frau	I-OTH	O	O	O	O	O	_	_	_
Gelde	I-OTH	O	O	O	O	O	_	_	_
Haker	I-OTH	O	O	O	O	O	_	_	_
ubersenden	I-OTH	O	O	O	O	O	_	_	_
men	I-OTH	O	O	O	O	O	_	_	_
ein	I-OTH	O	O	O	O	O	_	_	_
Lagend	I-OTH	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Passagessen	O	O	O	O	O	O	_	_	_
zweiter	O	O	O	O	O	O	_	_	_
Kasse	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
Dampfe	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Hamburgatoria	B-ORG	O	O	O	O	O	_	_	_
Linie	I-ORG	O	O	O	O	O	_	_	_
sowie	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Versorgungsscheinlass	O	O	O	O	O	O	_	_	_
davić	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
aplat	O	O	O	O	O	O	_	_	_
ausgesellt	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Ihrem	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Herrn	O	O	O	O	O	O	_	_	_
August	B-PER	O	O	O	O	O	_	_	_
Schol	I-PER	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
messen	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
zurecht	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
amerikanischen	O	O	O	O	O	O	_	_	_
Kon	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Bresen	B-LOC	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Verbindung	O	O	O	O	O	O	_	_	_
setzen	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Application	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
Anstellung	O	O	O	O	O	O	_	_	_
ei	O	O	O	O	O	O	_	_	_
ner	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
hinreise	O	O	O	O	O	O	_	_	_
Erlaubnis	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
Staaten	O	O	O	O	O	O	_	_	_
nachkommen	O	O	O	O	O	O	_	_	_
Vom	O	O	O	O	O	O	_	_	_
amer	O	O	O	O	O	O	_	_	_
Ma	O	O	O	O	O	O	_	_	_
nischen	O	O	O	O	O	O	_	_	_
Konsulat	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
geholt	O	O	O	O	O	O	_	_	_
wann	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
daselbst	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
pro	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
tamento	O	O	O	O	O	O	_	_	_
ebenstigen	O	O	O	O	O	O	_	_	_
melden	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
solche	O	O	O	O	O	O	_	_	_
behördlichen	O	O	O	O	O	O	_	_	_
Be	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Vidua	B-LOC	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
sobald	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Kaum	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Anrederlaubnis	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
konnen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
chtskopfsellschaft	O	O	O	O	O	O	_	_	_
oder	O	O	O	O	O	O	_	_	_
deren	O	O	O	O	O	O	_	_	_
Agentur	O	O	O	O	O	O	_	_	_
Platz	O	O	O	O	O	O	_	_	_
legen	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Schulgeselschaft	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Annen	B-PER	O	O	O	O	O	_	_	_
wenige	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Eintreffen	O	O	O	O	O	O	_	_	_
dieses	O	O	O	O	O	O	_	_	_
Profes	O	O	O	O	O	O	_	_	_
anzig	O	O	O	O	O	O	_	_	_
fand	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
amerikanischer	O	O	O	O	O	O	_	_	_
Nachrung	O	O	O	O	O	O	_	_	_
gesandt	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
fuer	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
auser	O	O	O	O	O	O	_	_	_
handsche	O	O	O	O	O	O	_	_	_
Visum	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
andere	O	O	O	O	O	O	_	_	_
Koso	O	O	O	O	O	O	_	_	_
Kosten	O	O	O	O	O	O	_	_	_
Veste	B-OTH	O	O	O	O	O	_	_	_
vnd	I-OTH	O	O	O	O	O	_	_	_
Inen	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
Sent	I-OTH	O	O	O	O	O	_	_	_
Sohne	I-OTH	O	O	O	O	O	_	_	_
einen	I-OTH	O	O	O	O	O	_	_	_
Von	I-OTH	O	O	O	O	O	_	_	_
eintreffen	I-OTH	O	O	O	O	O	_	_	_
raht	I-OTH	O	O	O	O	O	_	_	_
Kocherfahren	I-OTH	O	O	O	O	O	_	_	_
ken	I-OTH	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
zugestellt	O	O	O	O	O	O	_	_	_
worden	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
hieher	O	O	O	O	O	O	_	_	_
oder	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
No	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Paull	O	O	O	O	O	O	_	_	_
